"filename", "language", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"d:\Master of Software Engineering\Group Project\FSES-frontend\src\App.jsx", "JavaScript JSX", 10, 0, 0, 2, 4, 16
"d:\Master of Software Engineering\Group Project\FSES-frontend\src\Layout\Main.jsx", "JavaScript JSX", 11, 0, 0, 0, 2, 13
"d:\Master of Software Engineering\Group Project\FSES-frontend\src\Router\Routes.jsx", "JavaScript JSX", 22, 0, 0, 0, 4, 26
"d:\Master of Software Engineering\Group Project\FSES-frontend\src\assets\react.svg", "XML", 0, 1, 0, 0, 0, 1
"d:\Master of Software Engineering\Group Project\FSES-frontend\src\components\Footer.jsx", "JavaScript JSX", 11, 0, 0, 0, 2, 13
"d:\Master of Software Engineering\Group Project\FSES-frontend\src\index.css", "CSS", 0, 0, 5, 5, 2, 12
"d:\Master of Software Engineering\Group Project\FSES-frontend\src\main.jsx", "JavaScript JSX", 15, 0, 0, 1, 2, 18
"d:\Master of Software Engineering\Group Project\FSES-frontend\src\pages\Login.jsx", "JavaScript JSX", 82, 0, 0, 17, 8, 107
"d:\Master of Software Engineering\Group Project\FSES-frontend\src\pages\OfficeAssistantSystem.jsx", "JavaScript JSX", 464, 0, 0, 6, 33, 503
"Total", "-", 615, 1, 5, 31, 57, 709
